4948: clear_rparam
4448: ret_gadget
49F8: entrypoint
49D8: check_key_press_or_char_typed
4A00: on_key_press_or_char_typed
4A4C: check_if_char_was_typed
4A68: remove_char_from_box
4AA4: append_entered_char_to_box
4950: on_enter_pressed
468C: verify_flag
49B0: set_status_text_changed
498C: set_status_wrong_flag
4968: set_status_right_flag
0010: input_char_typed
4BAC: global_input_length
4BB0: global_input_text
4BA4: global_status_1
4BA8: global_status_2
4BC8: step_1_result
46A4: step_1
46F4: step_2
4718: step_2_loop
47A0: step_3
48B8: mystery_flag_method_1
4814: mystery_flag_method_2
4754: step_2_loop_process_bit_map
4774: step_2_loop_shift_comparator
4788: step_2_loop_next_comparator
4C40: static_bit_map_processing_data
4C74: computational_memory_start
4D38: computational_memory_end
48C4: mystery_1_outer_loop
48D0: mystery_1_inner_loop
48EC: mystery_1_increase_same_ctr
490C: mystery_1_increase_inner_ctr
4828: mystery_2_outer_loop
4834: mystery_2_inner_loop_1
4860: mystery_2_inner_loop_2
488C: myster_2_inner_loop_2_break
